date,buy gold,isPartial
2020-03-01,60,False
2020-03-02,41,False
2020-03-03,38,False
2020-03-04,34,False
2020-03-05,37,False
2020-03-06,44,False
2020-03-07,35,False
2020-03-08,52,False
2020-03-09,68,False
2020-03-10,45,False
2020-03-11,37,False
2020-03-12,48,False
2020-03-13,58,False
2020-03-14,54,False
2020-03-15,49,False
2020-03-16,64,False
2020-03-17,58,False
2020-03-18,62,False
2020-03-19,61,False
2020-03-20,57,False
2020-03-21,65,False
2020-03-22,61,False
2020-03-23,64,False
2020-03-24,65,False
2020-03-25,73,False
2020-03-26,51,False
2020-03-27,54,False
2020-03-28,71,False
2020-03-29,55,False
2020-03-30,51,False
2020-03-31,44,False
2020-04-01,47,False
2020-04-02,50,False
2020-04-03,50,False
2020-04-04,55,False
2020-04-05,60,False
2020-04-06,60,False
2020-04-07,58,False
2020-04-08,47,False
2020-04-09,54,False
2020-04-10,62,False
2020-04-11,49,False
2020-04-12,73,False
2020-04-13,61,False
2020-04-14,54,False
2020-04-15,51,False
2020-04-16,54,False
2020-04-17,52,False
2020-04-18,64,False
2020-04-19,49,False
2020-04-20,53,False
2020-04-21,55,False
2020-04-22,68,False
2020-04-23,70,False
2020-04-24,58,False
2020-04-25,62,False
2020-04-26,66,False
2020-04-27,62,False
2020-04-28,51,False
2020-04-29,53,False
2020-04-30,50,False
2020-05-01,51,False
2020-05-02,46,False
2020-05-03,53,False
2020-05-04,61,False
2020-05-05,45,False
2020-05-06,61,False
2020-05-07,42,False
2020-05-08,51,False
2020-05-09,58,False
2020-05-10,58,False
2020-05-11,47,False
2020-05-12,47,False
2020-05-13,43,False
2020-05-14,41,False
2020-05-15,43,False
2020-05-16,47,False
2020-05-17,51,False
2020-05-18,53,False
2020-05-19,42,False
2020-05-20,49,False
2020-05-21,42,False
2020-05-22,44,False
2020-05-23,68,False
2020-05-24,53,False
2020-05-25,56,False
2020-05-26,39,False
2020-05-27,50,False
2020-05-28,36,False
2020-05-29,53,False
2020-05-30,34,False
2020-05-31,44,False
2020-06-01,43,False
2020-06-02,31,False
2020-06-03,35,False
2020-06-04,41,False
2020-06-05,40,False
2020-06-06,42,False
2020-06-07,41,False
2020-06-08,45,False
2020-06-09,51,False
2020-06-10,41,False
2020-06-11,46,False
2020-06-12,37,False
2020-06-13,45,False
2020-06-14,48,False
2020-06-15,43,False
2020-06-16,48,False
2020-06-17,40,False
2020-06-18,52,False
2020-06-19,42,False
2020-06-20,50,False
2020-06-21,44,False
2020-06-22,42,False
2020-06-23,53,False
2020-06-24,44,False
2020-06-25,38,False
2020-06-26,41,False
2020-06-27,47,False
2020-06-28,48,False
2020-06-29,49,False
2020-06-30,41,False
2020-07-01,48,False
2020-07-02,36,False
2020-07-03,51,False
2020-07-04,46,False
2020-07-05,30,False
2020-07-06,59,False
2020-07-07,51,False
2020-07-08,64,False
2020-07-09,67,False
2020-07-10,46,False
2020-07-11,49,False
2020-07-12,56,False
2020-07-13,48,False
2020-07-14,51,False
2020-07-15,45,False
2020-07-16,58,False
2020-07-17,48,False
2020-07-18,50,False
2020-07-19,54,False
2020-07-20,63,False
2020-07-21,56,False
2020-07-22,62,False
2020-07-23,59,False
2020-07-24,61,False
2020-07-25,74,False
2020-07-26,51,False
2020-07-27,80,False
2020-07-28,97,False
2020-07-29,67,False
2020-07-30,61,False
2020-07-31,63,False
2020-08-01,67,False
2020-08-02,68,False
2020-08-03,63,False
2020-08-04,66,False
2020-08-05,100,False
2020-08-06,77,False
2020-08-07,60,False
2020-08-08,67,False
2020-08-09,59,False
2020-08-10,58,False
2020-08-11,61,False
2020-08-12,57,False
2020-08-13,56,False
2020-08-14,54,False
2020-08-15,63,False
2020-08-16,60,False
2020-08-17,61,False
2020-08-18,57,False
2020-08-19,68,False
2020-08-20,48,False
2020-08-21,38,False
2020-08-22,50,False
2020-08-23,52,False
2020-08-24,38,False
2020-08-25,49,False
2020-08-26,48,False
2020-08-27,41,False
2020-08-28,40,False
2020-08-29,50,False
2020-08-30,49,False
2020-08-31,43,False
2020-09-01,44,False
2020-09-02,40,False
2020-09-03,41,False
2020-09-04,41,False
2020-09-05,56,False
2020-09-06,55,False
2020-09-07,60,False
2020-09-08,36,False
2020-09-09,38,False
2020-09-10,39,False
2020-09-11,47,False
2020-09-12,43,False
2020-09-13,46,False
2020-09-14,37,False
2020-09-15,32,False
2020-09-16,35,False
2020-09-17,33,False
2020-09-18,35,False
2020-09-19,36,False
2020-09-20,43,False
2020-09-21,37,False
2020-09-22,47,False
2020-09-23,38,False
2020-09-24,39,False
2020-09-25,38,False
2020-09-26,41,False
2020-09-27,41,False
2020-09-28,40,False
2020-09-29,42,False
2020-09-30,38,False
2020-10-01,34,False
2020-10-02,35,False
2020-10-03,45,False
2020-10-04,39,False
2020-10-05,35,False
2020-10-06,27,False
2020-10-07,42,False
2020-10-08,29,False
2020-10-09,52,False
2020-10-10,49,False
2020-10-11,48,False
2020-10-12,43,False
2020-10-13,43,False
2020-10-14,34,False
