,buy gold,overlap
2019-07-27,43.0,
2019-07-28,40.0,
2019-07-29,40.0,
2019-07-30,29.0,
2019-07-31,44.0,
2019-08-01,32.0,
2019-08-02,37.0,
2019-08-03,31.0,
2019-08-04,40.0,1.0
2019-08-05,42.0,1.0
2019-08-06,41.0,1.0
2019-08-07,36.0,1.0
2019-08-08,40.0,1.0
2019-08-09,43.0,1.0
2019-08-10,41.0,1.0
2019-08-11,49.0,1.0
2019-08-12,48.0,1.0
2019-08-13,46.0,1.0
2019-08-14,55.0,1.0
2019-08-15,45.0,1.0
2019-08-16,39.0,1.0
2019-08-17,34.0,1.0
2019-08-18,38.0,1.0
2019-08-19,39.0,1.0
2019-08-20,36.0,1.0
2019-08-21,48.0,1.0
2019-08-22,30.0,1.0
2019-08-23,37.0,1.0
2019-08-24,45.0,1.0
2019-08-25,38.0,1.0
2019-08-26,38.0,1.0
2019-08-27,32.0,1.0
2019-08-28,40.0,1.0
2019-08-29,33.0,1.0
2019-08-30,38.0,1.0
2019-08-31,47.0,1.0
2019-09-01,43.0,1.0
2019-09-02,39.0,1.0
2019-09-03,38.0,1.0
2019-09-04,49.0,1.0
2019-09-05,42.0,1.0
2019-09-06,36.0,1.0
2019-09-07,39.0,1.0
2019-09-08,42.0,1.0
2019-09-09,37.0,1.0
2019-09-10,44.0,1.0
2019-09-11,33.0,1.0
2019-09-12,33.0,1.0
2019-09-13,29.0,1.0
2019-09-14,42.0,1.0
2019-09-15,36.0,1.0
2019-09-16,38.0,1.0
2019-09-17,31.0,1.0
2019-09-18,29.0,1.0
2019-09-19,32.0,1.0
2019-09-20,33.0,1.0
2019-09-21,49.0,1.0
2019-09-22,44.0,1.0
2019-09-23,32.0,1.0
2019-09-24,40.0,1.0
2019-09-25,34.0,1.0
2019-09-26,34.0,1.0
2019-09-27,41.0,1.0
2019-09-28,52.0,1.0
2019-09-29,36.0,1.0
2019-09-30,41.0,1.0
2019-10-01,37.0,1.0
2019-10-02,34.0,1.0
2019-10-03,40.0,1.0
2019-10-04,35.0,1.0
2019-10-05,46.0,1.0
2019-10-06,43.0,1.0
2019-10-07,32.0,1.0
2019-10-08,32.0,1.0
2019-10-09,39.0,1.0
2019-10-10,33.0,1.0
2019-10-11,35.0,1.0
2019-10-12,33.0,1.0
2019-10-13,31.0,1.0
2019-10-14,35.0,1.0
2019-10-15,40.0,1.0
2019-10-16,40.0,1.0
2019-10-17,41.0,1.0
2019-10-18,29.0,1.0
2019-10-19,36.0,1.0
2019-10-20,40.0,1.0
2019-10-21,33.0,1.0
2019-10-22,31.0,1.0
2019-10-23,32.0,1.0
2019-10-24,31.0,1.0
2019-10-25,43.0,1.0
2019-10-26,40.0,1.0
2019-10-27,34.0,1.0
2019-10-28,36.0,1.0
2019-10-29,35.0,1.0
2019-10-30,35.0,1.0
2019-10-31,38.0,1.0
2019-11-01,30.0,1.0
2019-11-02,32.0,1.0
2019-11-03,45.0,1.0
2019-11-04,38.0,1.0
2019-11-05,31.0,1.0
2019-11-06,36.0,1.0
2019-11-07,32.0,1.0
2019-11-08,32.0,1.0
2019-11-09,38.0,1.0
2019-11-10,37.0,1.0
2019-11-11,32.0,1.0
2019-11-12,36.0,1.0
2019-11-13,29.0,
2019-11-14,37.0,
2019-11-15,39.0,
2019-11-16,39.0,
2019-11-17,47.0,
2019-11-18,44.0,
2019-11-19,35.0,
2019-11-20,27.0,
2019-11-21,32.0,
2019-11-22,37.0,
2019-11-23,40.0,
2019-11-24,49.0,
2019-11-25,34.0,
2019-11-26,42.0,
2019-11-27,42.0,
2019-11-28,53.0,
2019-11-29,65.0,
2019-11-30,58.0,
2019-12-01,37.0,
2019-12-02,46.0,
2019-12-03,45.0,
2019-12-04,35.0,
2019-12-05,40.0,
2019-12-06,36.0,
2019-12-07,55.0,
2019-12-08,41.0,
2019-12-09,49.0,
2019-12-10,37.0,
2019-12-11,44.0,
2019-12-12,43.0,
2019-12-13,49.0,
2019-12-14,51.0,
2019-12-15,45.0,
2019-12-16,31.0,
2019-12-17,38.0,
2019-12-18,40.0,
2019-12-19,50.0,
2019-12-20,42.0,
2019-12-21,50.0,
2019-12-22,60.0,
2019-12-23,43.0,
2019-12-24,48.0,
2019-12-25,39.0,
2019-12-26,58.0,
2019-12-27,49.0,
2019-12-28,44.0,
2019-12-29,38.0,
2019-12-30,43.0,
2019-12-31,51.0,
2020-01-01,47.0,
2020-01-02,43.0,
2020-01-03,49.0,
2020-01-04,46.0,
2020-01-05,40.0,
2020-01-06,54.0,
2020-01-07,57.0,
2020-01-08,45.0,
2020-01-09,43.0,
2020-01-10,37.0,
2020-01-11,43.0,
2020-01-12,49.0,
2020-01-13,37.0,
2020-01-14,32.0,
2020-01-15,39.0,
2020-01-16,40.0,
2020-01-17,39.0,
2020-01-18,41.0,
2020-01-19,36.0,
2020-01-20,44.0,1.0
2020-01-21,39.0,1.0
2020-01-22,43.0,1.0
2020-01-23,45.0,1.0
2020-01-24,42.0,1.0
2020-01-25,62.0,1.0
2020-01-26,40.0,1.0
2020-01-27,31.0,1.0
2020-01-28,29.0,1.0
2020-01-29,33.0,1.0
2020-01-30,36.0,1.0
2020-01-31,44.0,1.0
2020-02-01,44.0,1.0
2020-02-02,39.0,1.0
2020-02-03,32.0,1.0
2020-02-04,41.0,1.0
2020-02-05,34.0,1.0
2020-02-06,36.0,1.0
2020-02-07,39.0,1.0
2020-02-08,53.0,1.0
2020-02-09,48.0,1.0
2020-02-10,33.0,1.0
2020-02-11,33.0,1.0
2020-02-12,37.0,1.0
2020-02-13,43.0,1.0
2020-02-14,43.0,1.0
2020-02-15,50.0,1.0
2020-02-16,49.0,1.0
2020-02-17,45.0,1.0
2020-02-18,35.0,1.0
2020-02-19,41.0,1.0
2020-02-20,39.0,1.0
2020-02-21,48.0,1.0
2020-02-22,59.0,1.0
2020-02-23,42.0,1.0
2020-02-24,51.0,1.0
2020-02-25,44.0,1.0
2020-02-26,37.0,1.0
2020-02-27,53.0,1.0
2020-02-28,51.0,1.0
2020-02-29,45.0,1.0
2020-03-01,60.0,1.0
2020-03-02,41.0,1.0
2020-03-03,44.0,1.0
2020-03-04,35.0,1.0
2020-03-05,46.0,1.0
2020-03-06,47.0,1.0
2020-03-07,45.0,1.0
2020-03-08,45.0,1.0
2020-03-09,62.0,1.0
2020-03-10,53.0,1.0
2020-03-11,45.0,1.0
2020-03-12,58.0,1.0
2020-03-13,61.0,1.0
2020-03-14,58.0,1.0
2020-03-15,52.0,1.0
2020-03-16,63.0,1.0
2020-03-17,67.0,1.0
2020-03-18,63.0,1.0
2020-03-19,71.0,1.0
2020-03-20,73.0,1.0
2020-03-21,62.0,1.0
2020-03-22,69.0,1.0
2020-03-23,66.0,1.0
2020-03-24,77.0,1.0
2020-03-25,87.0,1.0
2020-03-26,57.0,1.0
2020-03-27,51.0,1.0
2020-03-28,66.0,1.0
2020-03-29,68.0,1.0
2020-03-30,51.0,1.0
